tournament_name,year,venue_name,venue_address,venue_city,venue_country,court_surface,num_courts,indoor_outdoor
,2025,Lésigny Tennis Padel Club,"Complexe de l'Entre deux parcs, Avenue des Hyverneaux, 77150 Lésigny",Lesigny (Paris) - France,Lesigny (Paris) - France,,2.0,
,2025,House of Games,"Elosalamantie 2, 02100 Espoo",Espoo,Espoo-Finland,,1.0,
,2025,: 45km. (1hora)Airport pick up: YES (free)Daily ho – club service: YESContact / Nº: +,"LATERAL NORTE, RUTA 7, km 1003- san Martín- Mendoza",Mendoza - Argentina,Mendoza - Argentina,,6.0,Outdoor
,2025,,,Kuwait City - Kuwait,Kuwait City - Kuwait,,,
,2025,PADELPOINT DENIA,,Denia - Spain,Denia - Spain,,,
,2025,PADEL+,+63 967 486 4855,Hong kong - Hong Kong,Hong kong - Hong Kong,,,
,2025,PADEL SAN ANTONIO,AV SAN JUAN 4617,San Antonio - Chile,San Antonio - Chile,,3.0,Outdoor
,2025,PADEL ARENA FASTWEB,+39 333 383 3057,Perugia - Italy,Perugia - Italy,,,
,2025,,,Dubai - United Arab Emirates,Dubai - United Arab Emirates,,,Indoor
,2025,The One Padel Academy,"Go Park Sai Sha, 9 Hoi Ying Road, Sai Sha Rd, Ma On Shan, Hong Kong",Hong Kong - Hong Kong,Hong Kong - Hong Kong,,,Outdoor
,2025,Sportcity,,Massanasa (Valencia) - Spain,Massanasa (Valencia) - Spain,,,
,2025,Padel Athletic Club/ PAC,"Rua Engenheiro Ferreira Dias 1010, 4100-246 Porto",Oporto - Portugal,Oporto - Portugal,,4.0,Indoor
,2025,Padel LK,"Unit 6, Delta Retail Park, Ballysimon Road, Crossgala, Limerick, V94368A",Limerick - Ireland,Limerick - Ireland,,1.0,Indoor
,2025,Sports Club,"Sports Club, Egypt, Giza, 6 of October city, 6 of October sports club.",Giza-Egypt,Giza-Egypt,,1.0,Outdoor
,2025,,,Kaunas - Lithuania,Kaunas - Lithuania,,,
,2025,Khalifa International Tennis & squash complex,,Doha-Qatar,Doha-Qatar,,,
,2025,Role,+52 221 605 0004,Veracruz - Mexico,Veracruz - Mexico,,,
,2025,MOSTRA D’OLTREMARE (Main Draw),VIALE KENNEDY 143-147,Napoli - Italy,Napoli - Italy,,2.0,Indoor
,2025,Role,police10512@gmail.com,Lucena - Spain,Lucena - Spain,,,
,2025,,,Doha - Qatar,Doha - Qatar,,,
,2025,Manila Padel Club,+63 967 486 4855,Manila - Philippines,Manila - Philippines,,,Outdoor
,2025,Lyttos Sports Center,"Anissaras Xersonissou, P.C.70014, Crete Greece",Crete - Greece,Crete - Greece,,1.0,Indoor
,2025,ARENA GNP SEGUROS,"Paseo de los Manglares s/n, Puerta 1, CP: 39890 Puerto Marqués, Guerrero",Acapulco - Mexico,Acapulco - Mexico,,,
,2025,,,Como - Italy,Como - Italy,,,
,2025,LA PLANA SPORT,Camino Donación S/N Castellón de la Plana (Castellón),CASTELLÓN DE LA PLANA - Spain,CASTELLÓN DE LA PLANA - Spain,,,Outdoor
,2025,WPA Bahrain,"Wpa Bahrain sports W.L.L Building 577 Road 3612 Block 436 Seef, bahrain",Manama - Bahrain,Manama - Bahrain,,5.0,Indoor
,2025,TP Rumbeke,Vlamingstraat 8 – 8800 Roeselare,Roeselare,Roeselare - Belgium,,,Indoor
,2025,Padel Parc,+41 79 750 71 02,Fribourg - Switzerland,Fribourg - Switzerland,,1.0,Indoor
,2025,Lyttos Sports Center,"Anissaras Xersonissou, P.C.70014, Crete Greece",Crete - Greece,Crete - Greece,,1.0,Indoor
,2025,TP Rumbeke,Vlamingstraat 8 – 8800 Roeselare,Roeselare,Roeselare - Belgium,,,Indoor
,2025,PREMIUM APA CENTER,"Las Magnolias 533, Km 50 Ramal Pilar 1629 PILAR ARGENTINA",PILAR ARGENTINA,Buenos Aires - Argentina,,4.0,Outdoor
,2025,PADEL BARCELONA – EL PRAT,": Carrer K Zona Franca, Sants-Montjuïc, 08040 BarcelonaGoogle Location: 41.328486017958845, 2.1129434620696195Special rates: 10% OFF writing an email saying that the reservation is for the FIP Promises",Barcelona - Spain,Barcelona - Spain,,,
,2025,Role,WhatsApp: +86 13761150481,Shanghai - China,Shanghai - China,,,Indoor
,2025,NAS Sports Complex,Dubai \NAD Alsheba 1,Dubai - UAE,Dubai - UAE,,4.0,Indoor
,2025,LOVE PADEL LANGHAMS,"27 TAMCHELE AVE, ZEVENFONTEIN, MIDRAND",Fourways - South Africa,Fourways - South Africa,,1.0,Indoor
,2025,PALAU SANT JORDI,"Passeig Olímpic, 5-7 08038 Barcelona",Barcelona,Barcelona - Spain,,,Indoor
,2025,Name,,Alicante - Spain,Alicante - Spain,,,Outdoor
